"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 05, 2014","40,282","39,830","40,470","39,615","22.74K","1.14"
"Jun 04, 2014","39,827","39,899","39,953","39,708","13.03K","0.14"
"Jun 03, 2014","39,773","39,633","40,049","39,633","18.36K","0.37"
"Jun 02, 2014","39,626","39,657","39,859","39,465","18.61K","0.10"
"May 30, 2014","39,586","39,935","40,190","39,517","23.23K","-1.08"
"May 29, 2014","40,019","40,110","40,162","39,604","25.36K","-0.46"
"May 28, 2014","40,202","40,440","40,590","40,000","20.24K","-0.40"
"May 27, 2014","40,365","41,160","41,160","40,212","25.21K","-1.99"
"May 26, 2014","41,183","40,861","41,230","40,780","10.47K","0.95"
"May 23, 2014","40,797","40,926","41,054","40,575","18.72K","-0.44"
"May 22, 2014","40,976","41,000","41,454","40,833","24.36K","0.20"
"May 21, 2014","40,896","41,095","41,347","40,818","19.08K","-0.33"
"May 20, 2014","41,030","40,902","41,127","40,715","19.41K","0.40"
"May 19, 2014","40,866","41,030","41,445","40,780","19.80K","-0.07"
"May 16, 2014","40,894","41,625","41,625","40,854","18.19K","-1.97"
"May 15, 2014","41,717","42,348","42,348","41,575","21.16K","-1.49"
"May 14, 2014","42,348","42,149","42,750","42,149","13.31K","1.11"
"May 13, 2014","41,884","41,980","42,200","41,750","16.00K","-0.48"
"May 12, 2014","42,086","41,469","42,385","41,393","20.51K","1.53"
"May 09, 2014","41,453","41,618","41,895","41,318","16.02K","-0.32"
"May 08, 2014","41,587","41,900","42,098","41,537","18.94K","-0.81"
"May 07, 2014","41,928","42,596","42,869","41,870","24.59K","-1.51"
"May 06, 2014","42,571","42,527","42,818","42,489","15.82K","1.45"
"May 05, 2014","41,961","42,012","42,495","41,835","0.22K","-0.29"
"May 02, 2014","42,083","40,940","42,265","40,900","0.79K","2.88"
"May 01, 2014","40,906","41,023","41,270","40,514","3.64K","-1.02"
"Apr 30, 2014","41,329","41,889","41,889","41,161","25.31K","-1.51"
"Apr 29, 2014","41,962","42,302","42,349","41,810","19.11K","-1.19"
"Apr 28, 2014","42,468","42,746","42,746","42,301","17.36K","-0.26"
"Apr 27, 2014","42,577","42,577","42,577","42,577","0","-0.07"
"Apr 25, 2014","42,607","42,615","42,890","42,381","22.28K","0.29"
"Apr 23, 2014","42,482","42,335","42,660","42,335","14.09K","0.58"
"Apr 22, 2014","42,236","42,002","42,470","41,943","18.47K","0.50"
"Apr 21, 2014","42,027","42,250","42,250","41,760","16.27K","-0.83"
"Apr 17, 2014","42,377","42,336","42,570","42,166","17.55K","-0.09"
"Apr 16, 2014","42,416","42,259","42,757","41,761","24.43K","0.30"
"Apr 15, 2014","42,289","43,050","43,060","41,526","34.28K","-2.17"
"Apr 14, 2014","43,229","43,040","43,365","42,803","11.55K","0.12"
"Apr 11, 2014","43,177","43,405","43,418","43,016","16.19K","-0.71"
"Apr 10, 2014","43,486","42,817","43,840","42,817","26.80K","1.90"
"Apr 09, 2014","42,675","43,201","43,281","42,301","20.51K","-1.21"
"Apr 08, 2014","43,198","43,300","43,430","43,165","8.33K","0.27"
"Apr 07, 2014","43,080","42,970","43,224","42,770","16.61K","0.30"
"Apr 05, 2014","42,951","42,951","42,951","42,951","0","-0.04"
"Apr 04, 2014","42,969","43,108","43,440","42,925","23.78K","-0.12"
